Stock,Date,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,Bollinger_Upper,Bollinger_Lower,GDP_Growth,Inflation_Rate,Interest_Rate,Sentiment_Score,Next_Close,Target
AAPL,2010-01-04,445.6275098584338,465.46414266330896,431.5130350871305,450.37821264119873,2441288,301.3103506606585,64.06177445778312,2.449751378179295,464.39863770183774,438.2315888703491,2.845199091761309,1.505217263947733,4.360373951427956,-0.07941798616706253,445.7145565583054,0
AAPL,2010-01-05,441.1942443673966,449.72646372206253,432.6181243721117,437.3977480566231,4714199,280.0156228254697,52.032235401163305,-3.7264731912197204,450.0990408785312,431.01807986653273,3.3526771227204355,1.516110393150748,2.3099963937538233,0.5118995096951975,439.50735675946174,1
AAPL,2010-01-07,395.4174206807254,399.41306043706675,385.0550589448569,388.71834498313245,3948217,323.1314956668423,71.8174407975888,-4.215862124392463,396.0106704151064,374.0927438475086,3.471209229355088,2.25682277856663,0.9845876739509998,0.04927855771628109,387.3358100164978,0
AAPL,2010-01-11,478.6310566820945,501.63976897659757,461.9919666326373,484.40114432700045,3637733,273.94401596349877,67.13345076739759,1.5744183875546538,496.39959860566984,479.3171878223339,2.9621097812597745,2.2384362971923575,1.7542344249487423,0.7378740603010872,476.6425317141193,0
AAPL,2010-01-12,179.95090351724886,183.90075883162316,175.0765878169472,181.51678214666268,693492,237.3544473164738,84.79729430502545,1.5525050597842158,189.47967235065005,171.61060993664762,2.7278577563473316,2.378014044312782,2.562107032580234,-0.9050919218530156,182.8632716245754,1
AAPL,2010-01-21,296.32411529774515,310.1345803596531,295.5421331414616,296.97415115242234,1969490,253.40477475617098,73.02451360744067,2.5468548348724918,309.85118248305355,290.51107266177127,2.5099392350285865,1.8164034139077387,1.2620361398942077,-0.5794632778079469,295.93814030780544,0
AAPL,2010-02-04,319.166885759859,327.5280413136608,316.5725117574121,317.4572410041928,1057836,177.80533643777963,15.247667520370287,-1.0397167126865003,332.35204344221063,307.069577687964,3.478406226578856,2.053797306132296,1.8925600695231255,0.22468906444077086,315.48456912898706,0
AAPL,2010-02-11,284.5155481108319,293.9000489965037,279.10726348109796,289.0591237387631,3350912,248.9969635457556,17.91038610304338,-1.731993319617323,299.9429366870334,274.9446175548946,3.4184674641414587,1.9088905222245574,1.4847980730114556,-0.3692442778236986,294.25494636022125,1
AAPL,2010-02-12,167.46888587785512,171.16791185667654,166.80074539722426,168.36234935267598,2438267,279.5805170863597,10.762167371958817,-1.598922319097602,180.7344486941791,161.03650652789497,3.047005848585807,1.6403902662708274,3.473741023943039,0.6862218518602938,169.97037568763838,1
AAPL,2010-02-18,212.0063547725935,215.174035561987,209.00884130304092,213.03754208888148,4959834,272.98638612138757,77.09721245646274,-3.633972729162104,218.12098041444546,199.30847610442555,3.1267474649840747,2.7298940939233685,1.7766926170859225,-0.73145974471771,209.98701077036904,0
AAPL,2010-02-24,443.6580059555292,449.6138457362296,424.34299417845153,440.0547244446237,1965259,317.81432720604386,89.93022573922688,-0.06900701231077644,448.7658099963552,429.4118169973313,3.463594184243413,2.072525796036259,3.3176676885617917,-0.013229109593551058,447.7767627707262,1
AAPL,2010-02-26,182.54581381239257,186.23900902932792,174.60711735800805,179.77536845923058,3552860,250.74271070433778,36.34416504545166,-3.2796031507630996,187.2602933384796,173.78957323996167,3.4141216974254123,1.6050344104100993,0.8355964343594765,0.9797284871828653,180.75038507899794,1
AAPL,2010-02-26,106.08690194328074,107.01804553208756,100.77307510018673,104.24531367288168,1660604,240.18192339837773,66.74544194678495,1.703450601163647,113.94956347942198,97.67265957769257,2.512639499463739,2.40387657107735,3.029195925868111,-0.7188109695812623,103.37956447923776,0
AAPL,2010-03-02,249.15184912253773,250.59876338519103,236.8081681479796,245.70833447495033,1259510,291.3030929131113,63.63344019579537,3.174051421618193,257.18843731556933,236.9329066355839,3.01116273242999,2.7137170364359644,4.629216438442809,-0.9440174232986582,247.26352990049526,1
AAPL,2010-03-05,391.48567364445677,398.08711948924537,384.3610100036553,397.9138414901004,4415205,298.3517924193693,82.87445293937341,4.339848950014719,404.1474538146174,391.7289640867407,2.517710196971697,1.692188613409307,1.8834773702633587,-0.30121224732243923,401.1368086666563,1
AAPL,2010-03-09,133.62405357535914,137.64627230111378,131.04508974345194,133.29476431603507,4183611,194.25362339191182,42.29584252907061,2.3408015351923384,145.70683961302166,125.89904734008695,2.713550359396124,1.7377015848353519,1.6767700670208212,-0.18447491304427688,132.47569694163678,0
AAPL,2010-03-09,361.80741958869226,379.69725288433375,352.40415051519267,363.3283513405886,1617711,290.86417462314313,17.90737077678066,2.127040219570392,372.44436333703044,353.27470164194693,3.2864525738930914,2.168606145904611,1.2061982611373079,0.7357683862068001,369.04073097846697,1
AAPL,2010-03-15,384.3179510680829,388.15522733362076,374.1885671771949,387.8009074026162,712533,240.51238286709443,88.583845378668,3.4221284963292185,398.0584859668314,377.822511535471,2.8347382328027284,2.3734368809060618,2.7432982412378015,0.35855850569499204,388.25006905095756,1
